video_id,title,channel_title,content_category,publish_country,published_day_of_week,views,likes,dislikes,comment_count,age_group,locality,platform
GrnswGtm_Sw,2018 Winter Olympics Daily Recap Day 16 I Part 2 I NBC Sports,NBC Sports,sports,us,sunday,213402,859,304,366,18-24,Anna Nagar,youtube
1ZqFDsq09H8,Compressed Air Powered Plane,Tom Stanton,science & technology,us,friday,201980,6102,221,884,25-34,Tambaram,youtube
oqbmlVa7Nag,Who Is Kim Jong Un's Sister â€” Kim Yo Jong?,Business Insider,news & politics,us,wednesday,84876,616,62,254,25-34,Porur,youtube
HCO7BWbKipU,You'll NEVER guess how I caught this lizard!,Brave Wilderness,pets & animals,us,friday,1386296,31218,890,5368,18-24,Velachery,youtube
23ILq4uxd-w,*NSYNC Plays 'Never Have I Ever',TheEllenShow,entertainment,us,tuesday,1830427,20997,500,1161,25-34,Porur,youtube
UE-kaxIiNPQ,Rihanna on Her Divine Dress and Co-Hosting With Anna Wintour | Met Gala 2018 With Liza Koshy,Vogue,howto & style,us,tuesday,2462729,68071,1472,2710,18-24,Anna Nagar,youtube
WIp-QvvbsEw,How Much Money Could We Sell The Earth For?,Life Noggin,education,us,monday,402058,14363,496,4046,18-24,Velachery,youtube
RYGFczNMAMk,How Formation Flying Works (feat. the Red Arrows!),Tom Scott,education,us,wednesday,316215,15176,139,1306,18-24,Anna Nagar,youtube
q8kLoRnzgLQ,50 AMAZING Facts to Blow Your Mind! #94,MatthewSantoro,education,us,wednesday,550137,14717,867,1273,25-34,OMR,youtube
xtR7m-Fl-F0,I Went to a Butler Cafe.,akidearest,education,us,friday,323867,28362,88,3379,35-50,Nungambakkam,youtube
UzeIb-TZo_I,Star Wars: The Last Jedi | Phasma's End - Deleted Scene,Star Wars,entertainment,us,wednesday,991931,19243,1456,3102,13-17,Adyar,youtube
zMKI64iY2CY,Falcon Heavy Makes History - Cheaper Spaceflight,ColdFusion,autos & vehicles,us,thursday,301122,19022,227,1868,25-34,Velachery,youtube
ET6XGZqOyjY,DIY THRIFT STORE PROM DRESS MAKEOVER!,Amber Scholl,howto & style,us,saturday,2272385,87005,4820,7804,25-34,OMR,youtube
xf4iv4ic70M,GOOGLE PICKS MY MAKEUP CHALLENGE! Carli Bybel,Carli Bybel,howto & style,us,sunday,484395,21950,726,1600,13-17,T Nagar,youtube
shiTAXD78Y8,Megyn Kelly Escalates Feud With Jane Fonda | The View,The View,news & politics,us,tuesday,587242,3054,2479,2266,35-50,Porur,youtube
Hgc2njyY4Rs,What If 2017 Never Happened?? | CHRIS AND BRITTANY,Chris Reinacher,people & blogs,us,wednesday,66471,3638,403,194,18-24,Adyar,youtube
gCwDzQcbiF4,Wild Christmas,Birdbox Studio,film & animation,us,friday,22695,1174,32,85,13-17,Velachery,youtube
wgW2z_wXyOA,Prince Death Scene Video Released by Cops | TMZ,TMZ,entertainment,us,thursday,772531,2315,917,1305,35-50,Adyar,youtube
GuKSrYux-Is,Cole Sprouse on Interning at the Met and His Artistic Aspirations | Met Gala 2018 With Liza Koshy,Vogue,howto & style,us,tuesday,1292298,46204,158,1068,50+,OMR,youtube
suEeS2v334I,K.Flay - Run For Your Life (From The Original Motion Picture â€œTomb Raiderâ€/Audio),KFlayVEVO,music,us,friday,58470,3903,69,257,25-34,T Nagar,youtube
w4C4aSHUtE0,KUWTK | Kourtney Kardashian Accidentally Snapchats From Friend's Phone! | E!,E! Entertainment,entertainment,us,monday,848771,5937,561,341,18-24,OMR,youtube
sP6Z94dDPEw,Maze Runner: The Death Cure | Any Ideas Clip | 20th Century FOX,20th Century Fox,film & animation,us,wednesday,2382407,8000,45,686,13-17,Anna Nagar,youtube
IC_lnyn2R2Q,THE 15:17 TO PARIS - Official Trailer [HD],Warner Bros. Pictures,entertainment,us,wednesday,572973,5838,314,630,25-34,OMR,youtube
DIBw9dSVKdU,Ralph Breaks The Internet: Wreck-It Ralph 2 Official Teaser Trailer,Walt Disney Animation Studios,film & animation,us,wednesday,19023565,283704,13302,51648,25-34,Tambaram,youtube
nlIE1I6DxjI,David Archuleta - Seasons ft. Madilyn Paige (Official Music Video),David Archuleta,music,us,friday,92199,4342,72,310,13-17,Tambaram,youtube
STVXHhTdjW4,How a Met Gown is Made | 2018 | Karlie Kloss,Klossy,people & blogs,us,tuesday,528551,11407,254,495,25-34,Adyar,youtube
C2-bOy3H6Ss,AFFORDABLE MAKEUP TUTORIAL USING DRUGSTORE BRUSHES,KathleenLights,howto & style,us,wednesday,471048,28361,380,1838,13-17,Adyar,youtube
SQsPvrev_bQ,435,"Tyler, The Creator",education,us,tuesday,1618890,118684,1325,6149,35-50,T Nagar,youtube
HUZRjGEwqCg,State of the Union 2018 live stream: President Donald Trump delivers first SOTU Address | ABC News,ABC News,news & politics,us,wednesday,199486,2176,1248,715,25-34,Tambaram,youtube
oSEeK9yDNQI,Clash Royale: Meet the Rascals! (New Card!),Clash Royale,gaming,us,thursday,13418844,258720,22805,19877,25-34,Anna Nagar,youtube
EY8rq1AyCPY,BITCONNECT EDM REMIX,Dylan Locke,comedy,us,friday,41378,1679,17,323,18-24,Velachery,youtube
YML2DM0K8DQ,Keith Urban - Coming Home (Lyric Video) ft. Julia Michaels,KeithUrbanVEVO,music,us,wednesday,802614,8544,774,348,18-24,Anna Nagar,youtube
WIV3xNz8NoM,Cobra Kai Season 2,Cobra Kai,entertainment,us,thursday,919057,30328,921,6502,18-24,T Nagar,youtube
RUbWdNGaYEg,Firefighters make progress in California fires,euronews (in English),news & politics,us,sunday,14670,90,23,154,18-24,OMR,youtube
fi483E-A8P4,THE CUPID CHALLENGE! ft CaptainSparklez,Rosanna Pansino,howto & style,us,saturday,480701,21869,362,3608,50+,T Nagar,youtube
qhuKvMRqsk8,I Trained Like A Pop Star For 60 Days,Michelle Khare,entertainment,us,monday,361234,18704,378,1609,25-34,OMR,youtube
cYxzLGk2NcY,My Dogs Eating Popcorn ASMR,JennaMarbles,comedy,us,thursday,2425680,167305,6997,24057,35-50,Anna Nagar,youtube
92BKdIai4ck,Host Patton Oswalt Opens the 2018 Writers Guild Awards,WGA West,film & animation,us,monday,13350,140,7,0,35-50,T Nagar,youtube
zjgZuuE8OVc,MY GOOD MORNING HABITS | heyclaire,Claire Marshall,howto & style,us,thursday,261520,19333,145,744,25-34,Adyar,youtube
lG8fWx982Qs,I Got A New Puppy,CrazyRussianHacker,science & technology,us,saturday,475149,26492,393,6131,35-50,T Nagar,youtube
H14tqKZYhgg,Castle Rock - â€˜This Placeâ€™ Teaser Trailer (Official) â€¢ Castle Rock on Hulu,Hulu,entertainment,us,wednesday,4779717,843,24,108,13-17,Anna Nagar,youtube
GhcqN2FDAnA,Senator's tax rant goes viral,CNN,news & politics,us,saturday,421286,6748,3657,5284,18-24,OMR,youtube
kton-qrKNLc,Meghan Trainor - No Excuses,MeghanTrainorVEVO,music,us,thursday,16755944,346310,28064,22653,13-17,T Nagar,youtube
If-n27SUAl8,GUY DANCES WITH HIS NEIGHBORS,Michael Callaghan,entertainment,us,tuesday,26096,416,6,26,18-24,Tambaram,youtube
xIbQZpwVweE,My Bachelor Audition Tape // Grace Helbig,Grace Helbig,people & blogs,us,friday,265399,14587,287,665,25-34,T Nagar,youtube
qDI8LnPq3VY,MTB Skills - Technical Climb,Geoff Mallinson,entertainment,us,thursday,4802,2,4,1,18-24,Anna Nagar,youtube
ESKmRiLjNpg,An Expert's Take On The Symbolism In Childish Gambinoâ€™s Viral â€˜This Is Americaâ€™ Video | TIME,TIME,news & politics,us,tuesday,2179286,21709,7256,3519,35-50,OMR,youtube
oSEeK9yDNQI,Clash Royale: Meet the Rascals! (New Card!),Clash Royale,gaming,us,thursday,14907570,266845,23927,20299,18-24,Anna Nagar,youtube
Mo9Xw_EYDFo,GoPro: Record Rope Jump,GoPro,sports,us,wednesday,78050,2959,98,290,18-24,T Nagar,youtube
T_Fskj6ihT4,Playing Rudy Giuliani on SNL Came Naturally to Kate McKinnon,Late Night with Seth Meyers,comedy,us,friday,700477,6086,276,598,18-24,Velachery,youtube
BFkTu8Y1KLs,Jason Mraz  - Have It All [Official Video],Jason Mraz,music,us,friday,2095026,49729,698,2804,13-17,Anna Nagar,youtube
t0VsbEqfAvo,"24 HOUR BOX FORT PRISON ESCAPE ROOM!! ðŸ“¦ðŸš” Secret UNDERGROUND Tunnel, SPY GADGETS & More!",Papa Jake,entertainment,us,saturday,2884285,49470,8192,21700,25-34,Tambaram,youtube
BZt0qjTWNhw,The Cat Who Caught the Laser,AaronsAnimals,pets & animals,us,friday,1383090,34833,1243,2389,13-17,Anna Nagar,youtube
fQjGRb4-IQM,Cats always find a way \ Ð Ð°Ð·Ð¾ÑˆÐ»Ð¸ÑÑŒ,ignoramusky,pets & animals,us,wednesday,454078,5069,164,318,50+,Tambaram,youtube
Vn-l53PbEIQ,President Donald Trump Honors Billy Graham As Body Lies In State At U.S. Capitol | NBC News,NBC News,news & politics,us,wednesday,24332,320,71,0,35-50,Porur,youtube
9sRQQRiltrE,BTS Get Scared by a Fangirl,TheEllenShow,entertainment,us,friday,3531124,181190,3895,20120,13-17,Velachery,youtube
MtFjRvKfv70,NBA Daily Show: Dec. 8 - The Starters,NBA,sports,us,saturday,120078,1576,63,147,13-17,Porur,youtube
USXoINPEhoA,Let's Talk About Google Duplex!,Marques Brownlee,science & technology,us,thursday,2149011,93503,1580,14587,35-50,Velachery,youtube
sw-l5SW5hik,David Blaine - David Blaine Live & the Ice Pick Trick | The Daily Show,The Daily Show with Trevor Noah,comedy,us,sunday,1431894,17536,2362,2301,25-34,Nungambakkam,youtube
JWAvRIpuj1U,Vince McMahon's Major Sports Announcement,Alpha Entertainment,sports,us,thursday,118786,0,0,0,35-50,T Nagar,youtube
eiudTjsGM7g,Spill Your Guts or Fill Your Guts w/ Steven Tyler,The Late Late Show with James Corden,entertainment,us,friday,1420974,34637,462,1929,25-34,OMR,youtube
RQREeUE9eGI,17+ MOMENTS WEâ€™RE LEAVING BEHIND IN 2017 (ft. Kingsley) | Collabmas Day 1,DamonAndJo,comedy,us,wednesday,19968,2436,25,198,13-17,Velachery,youtube
OkvNxYMyips,Disney Officially to Buy 21st Century Fox for $52.4 Billion - IGN News,IGN News,entertainment,us,thursday,14921,525,61,338,18-24,Velachery,youtube
azUbCdcAeFM,Tesla 2018,Tesla,autos & vehicles,us,thursday,1019311,40082,622,2675,18-24,OMR,youtube
SFdO-19Xdho,Clean Bandit - I Miss You feat. Julia Michaels in the Radio 1 Live Lounge,BBC Radio 1,music,us,tuesday,37575,1679,21,82,35-50,OMR,youtube
P_If9xMyl10,The Voice 2018 Blind Audition - Stephanie Skipper: Piece By Piece,The Voice,entertainment,us,friday,2805605,32356,1129,1763,25-34,T Nagar,youtube
JzA097DmNTI,Rescued Chimp Helps Out on Flight over Africa,Associated Press,news & politics,us,thursday,233533,2599,67,0,25-34,T Nagar,youtube
24HFgBQawWA,Keke Palmer - PREGAME Official Music Video,Keke Palmer,music,us,friday,168739,9959,471,699,13-17,OMR,youtube
OKgUiBOpsZ4,Paul Allen's Radio Call of the Minnesota Vikings' Unbelievable Miracle Touchdown vs. Saints,Highlight Heaven,sports,us,monday,697498,13199,291,1769,18-24,OMR,youtube
FvBcYkY7ZGo,Adam Levine Almost S**t Himself While His Wife Was in Labor,Jimmy Kimmel Live,entertainment,us,friday,803578,10231,383,489,18-24,Nungambakkam,youtube
li6f_0x0IGE,Meet My BABY GIRL! | Fleur De Force,Fleur DeForce,howto & style,us,sunday,640133,41230,689,7171,25-34,Tambaram,youtube
r-3iathMo7o,"The ULTIMATE $30,000 Gaming PC Setup",Unbox Therapy,science & technology,us,sunday,6747824,139326,10656,17061,25-34,Nungambakkam,youtube
nSbzyEJ8X9E,A STAR IS BORN - Official Trailer 1,Warner Bros. Pictures,entertainment,us,wednesday,4337854,58859,1783,7780,35-50,OMR,youtube
ZUSPD9zOyJs,â€œInfinity Warâ€ Cast Reacts To Fan Tweets,BuzzFeed Celeb,people & blogs,us,tuesday,5554667,176430,2949,7530,25-34,Anna Nagar,youtube
cYxzLGk2NcY,My Dogs Eating Popcorn ASMR,JennaMarbles,comedy,us,thursday,1354164,123545,3139,17519,13-17,T Nagar,youtube
TsT5GLWgSkU,Reacting to Avengers: Infinity War trailer,jacksfilms,comedy,us,wednesday,806797,75413,2078,5202,25-34,Tambaram,youtube
biIRlcQqmOc,RBG - Official Trailer,Magnolia Pictures & Magnet Releasing,film & animation,us,wednesday,208039,1170,92,100,35-50,OMR,youtube
sqkL6D0ScR0,working a day at my first job (McDonalds),Tyler Oakley,entertainment,us,tuesday,915977,42926,2133,3744,18-24,T Nagar,youtube
yBXcNcBnImc,The Most Expensive Countries To Buy Cool Used Cars,Car Throttle,autos & vehicles,us,wednesday,255813,8307,178,5344,35-50,Velachery,youtube
Lwfhn_MiTTg,"DIY ALL OF THE LIGHTS Paper Cut Light Box Art, BEST ART THAT HAS EVER BEEN MADE",Corinne Leigh,people & blogs,us,thursday,330124,30203,201,2355,25-34,Nungambakkam,youtube
IYhwU5Q5mkA,Graffiti Artist,Studio C,comedy,us,tuesday,370784,13985,229,1513,18-24,Adyar,youtube
_KBc4B5JFoQ,"Sean Paul, David Guetta - Mad Love (Lyric Video) ft. Becky G",SeanPaulVEVO,music,us,friday,1687037,75277,1126,2269,18-24,Velachery,youtube
_OZJ03OBJj4,Everything Wrong With Bright In 15 Minutes Or Less,CinemaSins,film & animation,us,tuesday,2017280,38666,2440,5887,13-17,Velachery,youtube
maaWSIlDizs,Mean Tweets - NFL Edition #3,Jimmy Kimmel Live,comedy,us,friday,2062748,19064,1068,931,13-17,Anna Nagar,youtube
BFkTu8Y1KLs,Jason Mraz  - Have It All [Official Video],Jason Mraz,music,us,friday,2022353,48671,682,2748,13-17,Velachery,youtube
tBnIH8xPyZA,"What $2,500 Will Get You In NYC | Sweet Digs Home Tour | Refinery29",Refinery29,howto & style,us,sunday,156585,2368,335,553,25-34,Velachery,youtube
fLjXIFvafSE,How the Turtle Got Its Shell,PBS Eons,science & technology,us,monday,237161,9195,190,894,18-24,T Nagar,youtube
pojXEFDFMw8,2018 FIFA World Cup | Forget | ITV,ITV,entertainment,us,friday,354451,4639,474,0,18-24,Tambaram,youtube
a7NJ6Gek9v4,ALL TIME GREATEST AIRPLANE SEAT - Emirates First Class Suite,CaseyNeistat,people & blogs,us,monday,5875258,263740,6570,14042,50+,Velachery,youtube
umPDFJkH3_M,Will Stress Really Make You Go Gray?,SciShow,education,us,tuesday,227822,7196,506,1005,18-24,Tambaram,youtube
eSHe32cEKqI,Everything Yolanda Hadid Eats In a Day | Food Diaries | Harper's BAZAAR,Harper's BAZAAR,howto & style,us,friday,472073,10463,470,817,25-34,Porur,youtube
AFbu21AGSho,Watch a Hercules Beetle Metamorphose Before Your Eyes | Nat Geo Wild,Nat Geo WILD,pets & animals,us,tuesday,1006404,17022,600,1972,35-50,Anna Nagar,youtube
xGcrvGTMgkg,Siri in the '80s,Squirrel Monkey,comedy,us,sunday,151943,2819,148,420,18-24,OMR,youtube
Qesuc8orTUY,Kevin Hart is Killing It,Jimmy Kimmel Live,comedy,us,friday,1007891,13592,553,1117,13-17,Velachery,youtube
fDRrqJU4-Tk,SEASON 4 | ANNOUNCE TRAILER,Fortnite,gaming,us,tuesday,2166682,82810,2721,13432,18-24,Porur,youtube
kce7M5FJ5GM,love,Berd,comedy,us,wednesday,343756,23438,379,1797,13-17,Anna Nagar,youtube
arJ5h2TY3I4,FANTASY (feat. Amber Liu) by SUPERFRUIT,SUPERFRUIT,entertainment,us,friday,836830,82320,1279,7998,35-50,OMR,youtube
_lUiJsnGXh8,Honest Trailers - Jumanji,Screen Junkies,film & animation,us,tuesday,1632450,40304,1138,4460,35-50,Adyar,youtube
i0p1bmr0EmE,TWICE What is Love? M/V,jypentertainment,music,us,monday,50247353,1208535,106579,224247,25-34,Anna Nagar,youtube
phGlo_TNDp0,Imperial-class Star Destroyer - TIE Bomber,Onur AltuÄŸ Sever,film & animation,us,saturday,18015,56,4,7,35-50,T Nagar,youtube
mlJGtSg5oRw,SELF FLYING ROBOT DRONE OF THE FUTURE; The Skydio R1,CaseyNeistat,people & blogs,us,tuesday,1544043,57002,1223,3885,35-50,OMR,youtube
mQ055hHdxbE,John Mayer - New Light (Premium Content!),John Mayer,music,us,thursday,4734827,162698,3370,13396,13-17,OMR,youtube
_h9EEni5rks,Tank Has Words of Support for Tyrese,The Real Daytime,entertainment,us,wednesday,29615,405,9,124,35-50,Anna Nagar,youtube
9jRtpMKLsts,"PokÃ©mon: Let's Go, Pikachu! and PokÃ©mon: Let's Go, Eevee! Trailer",The Official PokÃ©mon YouTube channel,gaming,us,wednesday,9615926,227155,24506,59456,18-24,OMR,youtube
4E0Fhct08QM,Full Face Using Only Latina Products,Pero Like,people & blogs,us,wednesday,306854,11407,305,787,35-50,Velachery,youtube
RoIJtobSOqc,Everything Wrong With Ferdinand In 16 Minutes Or Less,CinemaSins,film & animation,us,tuesday,1626811,29863,1742,4185,35-50,OMR,youtube
jCb-WcxO5SU,If Commercials were Real Life - Daytona 500/Apple iPad,Zebra Corner,comedy,us,friday,1730034,56770,1838,3147,18-24,T Nagar,youtube
uwQX7nz0aUs,Peeing On The Seat,Gus Johnson,comedy,us,wednesday,123280,8785,547,743,13-17,Porur,youtube
rBFyZRQ9Jeg,TASTING ICELANDIC CANDIES (ft. Jeanine Amapola) | Collabmas Day 4,DamonAndJo,comedy,us,saturday,28894,1377,55,119,18-24,Anna Nagar,youtube
IfdihPR__WI,Enter Japanâ€™s Bizarre Museum of Rocks With Faces,Great Big Story,people & blogs,us,wednesday,99179,2404,52,232,25-34,Velachery,youtube
4wIBCoxuOJ0,How one scientist averted a national health crisis - Andrea Tone,TED-Ed,education,us,thursday,332002,17462,623,1158,35-50,T Nagar,youtube
EFwa5Owp0-k,Not Everyone Should Code,PolyMatter,education,us,friday,594031,23586,1879,2638,35-50,T Nagar,youtube
KUUjtUP2CrE,Carrie Underwood - Cry Pretty (Official Music Video),carrieunderwoodVEVO,music,us,monday,3267575,46924,2414,2729,13-17,Adyar,youtube
LqSkYMmyUWU,Impressive Kookaburra call,Eva Lunde Bentley,film & animation,us,tuesday,42513,854,7,120,25-34,Anna Nagar,youtube
4k9bXpi1tU4,Parked In My Spot,Domics,comedy,us,tuesday,2535527,148451,2134,11754,18-24,Tambaram,youtube
fYUXvrF85uQ,Guess the movie in 4 words! (YIAY #418),jacksfilms,comedy,us,friday,1075150,50534,1018,18981,18-24,T Nagar,youtube
49wGna0UTB8,Kendall Jenner Asks Herself Some Existential Questions | Vogue,Vogue,entertainment,us,wednesday,800108,27281,5520,2268,13-17,Velachery,youtube
_fjfo256p6s,Kacey Musgraves - High Horse (Lyric Video),KaceyMusgravesVEVO,music,us,thursday,462677,6887,503,564,18-24,Anna Nagar,youtube
ghMEmxP0hgw,DINOSAUR YOGA CHALLENGE!!,Liza Koshy Too,comedy,us,sunday,2176830,204246,1639,8366,35-50,T Nagar,youtube
5y0owYFTMno,Ethan Hawke Knows To Seek Knowledge From Masters,The Late Show with Stephen Colbert,entertainment,us,tuesday,328911,3591,189,405,18-24,T Nagar,youtube
coOKvrsmQiI,RAMPAGE - OFFICIAL TRAILER 1 [HD],Warner Bros. Pictures,entertainment,us,thursday,11072585,119371,10400,20757,18-24,Velachery,youtube
c47kn_Y4y8A,The Ultimate Paper Airplane | WIRED,WIRED,science & technology,us,wednesday,867075,23631,309,2001,25-34,Velachery,youtube
ogYum4kWXgk,People Are Awesome & The Pet Collective present: Pets are Awesome!,People are Awesome,entertainment,us,monday,155285,4719,64,207,18-24,Velachery,youtube
VAUHZYf_aKY,Carol of the Bells,Gerry Litwin,people & blogs,us,friday,3958827,62817,5206,4080,50+,Adyar,youtube
_UjAxuSuLIc,"How 29,000 Lost Rubber Ducks Helped Map the World's Oceans",Half as Interesting,education,us,thursday,262126,11062,432,774,50+,Adyar,youtube
qB24uIe2Q7c,HUSBAND PICKS MY MAKEUP,Tati,howto & style,us,monday,742486,43812,802,3527,18-24,T Nagar,youtube
x_joMJBrT34,10 of the World's Smallest Working Products!,Matthias,comedy,us,tuesday,3259388,105200,6606,17229,18-24,Velachery,youtube
9JQ2gHDPnDY,"COLLEGE KIDS REACT TO COACHELLA 2018 (Beychella, Eminem, Walmart Yodel Boy)",FBE,entertainment,us,friday,1853558,44196,1847,5470,18-24,Nungambakkam,youtube
FMXdXCYvLQQ,Bradley Gawthrop: Wiring Boot Camp,HACKADAY,science & technology,us,friday,2291,72,0,8,18-24,Adyar,youtube
md0K_eRSHAE,"Falcon Heavy and the Tesla Roadster Orbits, A Prediction",Max Fagin,science & technology,us,monday,55323,260,15,160,13-17,OMR,youtube
4lm75v4Ndlg,"Rainbow Paint on a Speaker - 12,500fps - The Slow Mo Guys",The Slow Mo Guys,entertainment,us,monday,1158599,45522,555,3617,25-34,Anna Nagar,youtube
48pP0WFjuOE,Mad Lib Theater with John Cena,The Tonight Show Starring Jimmy Fallon,comedy,us,thursday,595820,18605,212,914,18-24,Tambaram,youtube
tfNzMKvoVOU,The problem with online charter schools,Vox,news & politics,us,monday,513459,13211,1212,2747,18-24,Tambaram,youtube
YOxo2IUFnr4,Dan Stevens Can Make Malt Balls Levitate,The Late Late Show with James Corden,entertainment,us,friday,101566,1746,54,88,18-24,Adyar,youtube
l_eR85kmWbY,The Most Toxic Kiss on Earth | Because Science Live,Because Science,science & technology,us,saturday,78012,3538,62,560,35-50,Nungambakkam,youtube
xffS8n-M0Jg,How To Be Petty 101,IISuperwomanII,comedy,us,tuesday,1542311,124175,1942,8774,18-24,T Nagar,youtube
ZUSPD9zOyJs,â€œInfinity Warâ€ Cast Reacts To Fan Tweets,BuzzFeed Celeb,people & blogs,us,tuesday,6081291,188056,3140,8022,18-24,T Nagar,youtube
kce9FMxx-04,The Twelfth Doctor Regenerates: Peter Capaldi to Jodie Whittaker - Doctor Who Christmas Special 2017,BBC,entertainment,us,monday,915949,14447,4554,5622,18-24,Tambaram,youtube
CiFnp-oKZQc,Emily Blunt Finds The Idea Of Mary Poppins A Little Creepy,The Late Show with Stephen Colbert,people & blogs,us,friday,568803,5242,229,505,50+,Tambaram,youtube
HF27coLl2-w,"âœ¨ FEBRUARY FAVIES ðŸ’˜ Lazy Oaf, Too Faced, Magical Girls and TUNES ðŸ”¥",Pixielocks,people & blogs,us,wednesday,67997,3240,278,1118,18-24,T Nagar,youtube
MWbQdgjsvJI,MAKING A DRESS OUT OF TRASH BAGS!,Amber Scholl,howto & style,us,sunday,2337429,128770,3269,9405,25-34,Anna Nagar,youtube
dY2jpeasD4w,Adam Ruins Everything - The True Origins of Tulipmania | truTV,truTV,entertainment,us,thursday,388834,6500,322,742,25-34,T Nagar,youtube
S_HixQBiVH0,"John Legend And Tony Bennett Sing 'New York, New York'",CBS,entertainment,us,monday,798,45,4,6,18-24,Anna Nagar,youtube
fFSmOE0Uxms,MAKING A GINGERBREAD TRAIN,Marzia,people & blogs,us,saturday,781464,56388,973,4081,35-50,Tambaram,youtube
vbaDqD_eBug,"Top 10 Plays of the Night | April 01, 2018",NBA,sports,us,monday,480493,5064,202,257,18-24,Adyar,youtube
#NAME?,"A social worker has the worst day of his life. Then, a homeless man shows him what 'bad' really is.",Omeleto,film & animation,us,wednesday,83301,2636,65,167,25-34,Anna Nagar,youtube
4LlQwTgB5Rc,Dave Matthews Band - Samurai Cop (Oh Joy Begin) (Visualizer),davematthewsbandVEVO,music,us,thursday,292725,4819,139,385,25-34,Velachery,youtube
ZKZwrlNHMkk,TRY NOT TO LAUGH CHALLENGE!! - KNOCK KNOCK DAD JOKES EDITION,Eh Bee Family,people & blogs,us,saturday,983990,19883,4173,4169,25-34,T Nagar,youtube
OKgUiBOpsZ4,Paul Allen's Radio Call of the Minnesota Vikings' Unbelievable Miracle Touchdown vs. Saints,Highlight Heaven,sports,us,monday,2152206,32592,2492,4053,13-17,Anna Nagar,youtube
vkHGedqmIPc,Two Love Stories,vlogbrothers,people & blogs,us,tuesday,232999,13918,256,1031,35-50,OMR,youtube
a8gzChJsvEo,Everything Wrong With Arrival In 16 Minutes Or Less,CinemaSins,film & animation,us,tuesday,1614392,36163,3066,6371,18-24,Nungambakkam,youtube
2wJESCSvFU8,Live PD: Can I Text My Mom? (Season 2) | A&E,A&E,entertainment,us,monday,1026639,7922,910,2449,13-17,Tambaram,youtube
MKLlDnUqho4,Dead Beat Sirah ft. Skrillex (official video),SIRAH,music,us,tuesday,34262,2023,71,299,13-17,T Nagar,youtube
F388-6yDDpc,Cowboys vs. Falcons | NFL Week 10 Game Highlights,NFL,sports,us,monday,1042282,6029,549,3187,25-34,Porur,youtube
YS2y_12IWlA,Jet Engine VS FACE (Flying Like Iron Man Update),the Hacksmith,science & technology,us,thursday,3056115,51447,2190,4561,25-34,Tambaram,youtube
6XxA-4Jp7AU,Why female condoms are so hard to find,Vox,news & politics,us,wednesday,271281,6531,739,939,13-17,Tambaram,youtube
