post_id,post_date,platform,hashtag,content_type,region,views,likes,shares,comments,engagement_level,age_group,locality
Post_73,2022-12-07,tiktok,fashion,post,germany,4378457,136878,89273,41624,medium,13-17,OMR
Post_74,2022-06-12,tiktok,music,post,india,3647159,216783,79133,7687,high,25-34,Anna Nagar
Post_75,2023-05-08,youtube,gaming,video,usa,1750105,125485,942,20317,low,35-50,T Nagar
Post_76,2023-05-12,instagram,dance,tweet,india,1796369,145118,68421,16720,high,25-34,OMR
Post_77,2022-05-10,twitter,fitness,shorts,india,1535141,15408,23087,23147,medium,35-50,Adyar
Post_78,2023-08-29,twitter,challenge,video,australia,612594,132163,29340,40557,medium,18-24,Tambaram
Post_79,2022-01-27,instagram,challenge,reel,usa,4219632,171996,5043,3436,medium,18-24,Anna Nagar
Post_80,2023-11-06,twitter,viral,shorts,japan,3994554,241425,99422,41307,high,18-24,Velachery
Post_81,2022-07-31,instagram,challenge,shorts,india,4290853,211176,66264,14337,medium,35-50,Velachery
Post_82,2023-08-06,instagram,dance,live stream,australia,284772,338933,22771,18899,low,25-34,Nungambakkam
Post_83,2022-08-09,instagram,gaming,live stream,japan,4637078,219517,5831,32657,low,18-24,Anna Nagar
Post_84,2023-03-29,instagram,comedy,shorts,brazil,3315125,62336,79392,42892,high,13-17,Anna Nagar
Post_85,2023-10-28,twitter,fitness,shorts,brazil,4357287,106179,4262,12978,medium,25-34,Velachery
Post_86,2022-10-05,tiktok,fitness,shorts,canada,907386,52457,77192,32870,high,18-24,Adyar
Post_87,2022-12-28,twitter,gaming,post,india,1908555,194688,34182,3500,high,35-50,Anna Nagar
Post_88,2022-12-27,twitter,challenge,post,japan,3074269,18233,37713,28599,medium,25-34,Porur
Post_89,2022-10-08,youtube,dance,post,brazil,4067125,190686,12963,11560,high,35-50,Anna Nagar
Post_90,2022-03-21,youtube,fitness,reel,japan,1173157,137342,95328,47250,low,25-34,Porur
Post_91,2023-07-12,tiktok,fitness,reel,germany,2141884,23466,66627,40003,high,13-17,T Nagar
Post_92,2022-07-08,twitter,comedy,post,india,4567233,66980,96596,49121,low,35-50,OMR
Post_93,2022-03-11,twitter,gaming,post,uk,506074,69145,31191,43362,low,35-50,Porur
Post_94,2023-03-20,youtube,comedy,tweet,uk,3210080,195970,75414,4473,high,25-34,T Nagar
Post_95,2022-07-21,tiktok,tech,video,germany,128472,444670,64311,7956,medium,25-34,Nungambakkam
Post_96,2023-04-14,tiktok,music,reel,india,1347102,274212,15298,28342,high,18-24,Velachery
Post_97,2022-10-22,tiktok,tech,live stream,uk,92085,176687,5641,22316,medium,18-24,Nungambakkam
Post_98,2022-12-18,tiktok,tech,post,australia,3843536,90333,10903,30677,medium,18-24,OMR
Post_99,2022-12-06,instagram,viral,reel,germany,965073,263310,39207,27324,high,13-17,Anna Nagar
Post_100,2023-05-20,youtube,education,post,canada,3096420,364521,73308,29082,low,18-24,T Nagar
Post_101,2023-10-15,youtube,gaming,tweet,germany,2723916,1349,81918,11870,high,13-17,Anna Nagar
Post_102,2022-09-01,tiktok,music,live stream,uk,2249678,46464,83075,5710,medium,25-34,T Nagar
Post_103,2022-07-22,twitter,viral,shorts,germany,3311289,352538,55203,5369,medium,25-34,T Nagar
Post_104,2023-05-24,instagram,music,tweet,india,3588997,241125,65026,30917,medium,18-24,T Nagar
Post_105,2023-04-17,instagram,fitness,post,japan,13562,11483,33641,30457,medium,35-50,Velachery
Post_106,2022-07-10,twitter,fitness,live stream,usa,3926751,302919,49216,30399,low,18-24,Tambaram
Post_107,2022-06-13,youtube,music,tweet,uk,2750317,59766,75524,27938,high,25-34,T Nagar
Post_108,2023-06-26,tiktok,challenge,reel,germany,4655757,383024,45530,48504,medium,25-34,T Nagar
Post_109,2023-10-19,instagram,fitness,video,usa,4844012,452777,44862,23870,high,18-24,OMR
Post_110,2023-08-06,twitter,dance,video,usa,3868789,188191,4660,26605,medium,18-24,T Nagar
Post_111,2022-11-15,twitter,viral,tweet,australia,2517364,418305,51641,34605,high,18-24,T Nagar
Post_112,2022-12-18,instagram,dance,video,brazil,1994041,310266,87995,40217,medium,18-24,T Nagar
Post_113,2022-05-18,tiktok,education,shorts,australia,1402998,241244,56779,14849,high,35-50,Porur
Post_114,2022-11-05,youtube,fashion,live stream,brazil,702950,17361,62405,10538,low,35-50,Tambaram
Post_115,2022-07-17,instagram,education,tweet,canada,1599554,364748,16705,8949,high,25-34,Velachery
Post_116,2022-05-22,tiktok,tech,post,australia,4600976,443617,98343,18038,high,35-50,OMR
Post_117,2023-04-30,twitter,viral,shorts,usa,2495410,213884,16804,17614,low,35-50,Adyar
Post_118,2023-04-05,tiktok,dance,video,germany,1838563,289125,77191,27066,high,18-24,OMR
Post_119,2022-05-25,youtube,tech,shorts,india,2920650,416403,56902,2675,low,35-50,OMR
Post_120,2023-09-14,tiktok,viral,video,germany,1772623,361245,30503,13260,low,18-24,OMR
Post_121,2023-10-01,instagram,comedy,shorts,australia,2484315,101605,80028,36281,high,25-34,Anna Nagar
Post_122,2022-07-30,youtube,comedy,live stream,india,4927173,22341,38730,42476,medium,35-50,T Nagar
Post_123,2022-10-18,tiktok,challenge,video,uk,3924183,283030,30676,43977,low,18-24,Velachery
Post_124,2022-09-10,instagram,music,post,usa,4646060,21362,31562,19778,medium,13-17,Porur
Post_125,2022-12-12,youtube,fitness,video,usa,3901900,20166,30661,25363,low,18-24,Adyar
Post_126,2022-10-20,instagram,fashion,video,japan,962137,319381,69098,38387,low,18-24,Tambaram
Post_127,2023-05-20,tiktok,education,video,germany,3859007,277223,81798,46985,medium,25-34,Nungambakkam
Post_128,2023-02-15,twitter,challenge,shorts,uk,3837223,140163,85932,40674,medium,35-50,T Nagar
Post_129,2022-11-11,instagram,comedy,post,uk,1029488,449148,87211,35005,high,13-17,OMR
Post_130,2022-04-18,twitter,fashion,post,germany,879364,232290,7501,23547,low,25-34,OMR
Post_131,2023-10-22,tiktok,comedy,live stream,usa,4828597,131837,43770,9395,low,18-24,Nungambakkam
Post_132,2023-02-24,youtube,education,video,india,3487375,107303,83451,45313,high,18-24,Nungambakkam
Post_133,2023-01-14,tiktok,dance,tweet,india,3418884,311286,82479,7832,high,13-17,OMR
Post_134,2023-10-06,youtube,challenge,reel,brazil,1337059,318166,72711,32791,high,18-24,Anna Nagar
Post_135,2023-07-25,tiktok,education,live stream,canada,707841,133933,46058,45912,high,35-50,Tambaram
Post_136,2022-04-30,tiktok,fitness,shorts,australia,1851460,345987,13274,43872,low,18-24,T Nagar
Post_137,2022-10-08,instagram,fashion,tweet,canada,1438248,223413,84930,42774,low,18-24,Tambaram
Post_138,2023-02-02,instagram,fashion,live stream,brazil,4027409,80497,44156,14597,medium,25-34,Porur
Post_139,2023-04-16,instagram,music,video,india,3488909,443844,19877,22056,low,18-24,Velachery
Post_140,2022-12-23,tiktok,fitness,video,usa,1089083,150418,45387,25632,medium,50+,OMR
Post_141,2023-09-20,tiktok,fashion,live stream,germany,682046,480038,71997,18117,high,50+,Velachery
Post_142,2022-11-28,youtube,tech,live stream,brazil,4849297,86843,16843,14705,low,18-24,Velachery
Post_143,2022-02-24,instagram,challenge,tweet,usa,4283565,107901,84854,4738,low,18-24,Anna Nagar
Post_144,2023-10-04,twitter,comedy,shorts,india,50082,70708,277,25036,low,25-34,Tambaram
Post_145,2023-02-05,twitter,viral,post,usa,3940355,82304,68754,15897,low,18-24,Nungambakkam
Post_146,2022-04-08,instagram,education,reel,canada,964498,194879,76029,34998,high,13-17,Nungambakkam
Post_147,2023-02-13,tiktok,tech,shorts,uk,636824,363548,17456,8176,low,25-34,T Nagar
Post_148,2022-05-31,tiktok,comedy,reel,india,4179125,94325,72341,7328,low,18-24,Porur
Post_149,2022-05-29,instagram,gaming,video,brazil,1292958,95304,3716,44880,low,13-17,OMR
Post_150,2023-04-24,instagram,viral,reel,uk,4103477,75909,5645,4052,low,18-24,Anna Nagar
Post_151,2022-03-01,twitter,education,reel,germany,3529777,68367,38326,879,high,50+,T Nagar
Post_152,2023-03-28,instagram,fashion,reel,usa,4593170,34210,33344,11022,low,18-24,Anna Nagar
Post_153,2022-07-09,tiktok,challenge,shorts,brazil,3251679,498580,96093,9968,medium,13-17,Porur
Post_154,2023-04-22,instagram,tech,shorts,canada,41081,319140,6541,23057,low,18-24,OMR
Post_155,2023-03-06,twitter,dance,shorts,canada,2127698,193956,14856,32442,medium,50+,OMR
Post_156,2023-05-02,youtube,education,shorts,australia,4765117,177035,49884,46238,medium,18-24,Anna Nagar
Post_157,2022-09-13,twitter,fitness,reel,india,2114283,462542,14404,37153,low,35-50,OMR
Post_158,2022-10-20,youtube,fashion,reel,canada,4391275,392281,14429,27404,high,35-50,T Nagar
Post_159,2022-12-02,tiktok,gaming,post,india,1246500,471547,15048,40514,high,18-24,Velachery
Post_160,2023-01-22,twitter,music,tweet,germany,4555977,1087,23157,12611,medium,35-50,OMR
Post_161,2022-07-26,twitter,gaming,tweet,india,400424,56569,59897,49341,medium,25-34,T Nagar
Post_162,2022-02-08,instagram,challenge,video,brazil,3201846,335416,50986,16715,high,25-34,Tambaram
Post_163,2023-01-26,tiktok,gaming,video,germany,102418,107650,94514,26548,medium,25-34,Anna Nagar
Post_164,2023-06-24,twitter,comedy,tweet,australia,4253909,448284,39383,32995,low,25-34,OMR
Post_165,2022-06-12,tiktok,fitness,live stream,australia,1551922,47511,7404,25497,low,13-17,Velachery
Post_166,2022-04-07,youtube,challenge,post,germany,3587143,430347,96428,42640,medium,35-50,Adyar
Post_167,2022-07-13,instagram,fashion,video,usa,2252593,61466,13181,29007,high,18-24,T Nagar
Post_168,2023-04-06,youtube,challenge,video,australia,2547290,382792,78654,30532,medium,18-24,T Nagar
Post_169,2023-10-30,youtube,viral,reel,usa,2946297,223304,83502,10855,low,13-17,Porur
Post_170,2023-01-24,twitter,education,video,india,4459268,356292,52389,33857,low,25-34,Anna Nagar
Post_171,2022-10-28,instagram,music,live stream,australia,1630617,435112,71742,49750,high,25-34,Tambaram
Post_172,2022-05-08,instagram,education,live stream,usa,4709770,389553,55435,16799,medium,13-17,Nungambakkam
Post_173,2023-04-25,instagram,fitness,tweet,australia,2275387,271817,72208,27046,high,18-24,Anna Nagar
Post_174,2023-12-25,tiktok,tech,tweet,brazil,2784320,373955,22997,15361,high,18-24,Anna Nagar
Post_175,2023-05-19,twitter,music,tweet,usa,3674194,19972,97555,24310,medium,25-34,OMR
Post_176,2023-11-27,youtube,music,post,uk,2126429,36274,51278,44234,medium,18-24,Nungambakkam
Post_177,2022-11-15,youtube,fitness,shorts,usa,1598712,280260,58128,4485,high,25-34,Porur
Post_178,2022-11-21,twitter,fashion,video,australia,3464211,115302,63150,37858,medium,25-34,Adyar
Post_179,2022-10-27,twitter,fitness,reel,uk,1519290,495937,13211,49107,low,50+,Tambaram
Post_180,2022-10-05,instagram,fitness,tweet,canada,4888613,414422,11933,23903,high,13-17,T Nagar
Post_181,2022-02-18,twitter,viral,shorts,usa,3712060,302466,63802,49953,low,25-34,Nungambakkam
Post_182,2023-09-19,instagram,tech,reel,uk,4003071,22251,13517,13392,low,13-17,Nungambakkam
Post_183,2022-01-10,instagram,dance,video,germany,681752,197632,98860,19379,high,35-50,T Nagar
Post_184,2022-11-27,instagram,gaming,shorts,germany,4684548,122401,82864,42106,low,35-50,Anna Nagar
Post_185,2022-11-25,instagram,tech,video,uk,3916842,292224,72417,38211,high,18-24,T Nagar
Post_186,2022-08-09,tiktok,dance,reel,uk,798887,326922,87308,21689,medium,25-34,Anna Nagar
Post_187,2022-12-19,twitter,gaming,video,australia,688077,243607,79071,12078,high,35-50,Tambaram
Post_188,2022-08-21,twitter,challenge,reel,japan,1520250,214233,80,10917,medium,25-34,Velachery
Post_189,2023-05-11,tiktok,fashion,post,australia,496652,106618,64875,44200,high,18-24,T Nagar
Post_190,2022-07-25,tiktok,education,reel,india,479620,337321,99486,26524,medium,18-24,Anna Nagar
Post_191,2022-01-27,youtube,education,reel,usa,4221739,291223,61415,44293,low,13-17,Nungambakkam
Post_192,2023-08-18,twitter,education,live stream,brazil,4425196,324343,33641,22289,high,35-50,OMR
Post_193,2023-12-14,instagram,comedy,shorts,uk,4236960,259668,86293,16169,low,35-50,Velachery
Post_194,2023-08-31,tiktok,education,reel,india,2488223,177673,86535,39991,low,25-34,T Nagar
Post_195,2023-11-22,youtube,dance,live stream,uk,2809035,359231,78623,27822,medium,18-24,Nungambakkam
Post_196,2022-11-03,youtube,music,shorts,brazil,444252,398838,7767,19133,high,18-24,Tambaram
Post_197,2022-07-21,instagram,fashion,reel,india,907575,42770,5219,47956,low,25-34,Anna Nagar
Post_198,2022-06-02,tiktok,dance,post,canada,2440215,199343,53628,10359,medium,35-50,T Nagar
Post_199,2023-09-20,tiktok,comedy,shorts,usa,3982001,131915,64092,22170,medium,35-50,T Nagar
Post_200,2023-06-12,twitter,fashion,reel,brazil,3802724,457464,83495,19409,high,35-50,T Nagar
Post_201,2023-10-07,youtube,dance,shorts,australia,3049554,441149,46483,36909,low,25-34,Adyar
Post_202,2022-07-14,youtube,fashion,video,germany,3186810,312491,66586,7390,medium,13-17,Porur
Post_203,2022-09-20,youtube,gaming,live stream,australia,810296,77866,87591,41350,high,18-24,Velachery
Post_204,2023-07-22,twitter,dance,post,uk,4459224,957,54290,47674,high,35-50,Tambaram
Post_205,2023-01-03,instagram,viral,post,usa,741152,226355,58251,46227,high,25-34,Velachery
Post_206,2022-10-17,twitter,fashion,tweet,usa,2945128,368541,66690,3800,medium,13-17,OMR
Post_207,2022-07-08,twitter,music,post,canada,2302342,153529,52488,41257,high,18-24,OMR
Post_208,2023-12-15,youtube,fashion,shorts,australia,469793,295293,29190,9480,medium,25-34,T Nagar
Post_209,2022-06-25,twitter,comedy,live stream,uk,2452099,320043,91765,2987,low,13-17,Velachery
Post_210,2022-07-13,tiktok,tech,live stream,uk,2651939,209375,2127,12291,low,18-24,OMR
Post_211,2023-10-23,tiktok,fitness,shorts,india,1580449,299597,35471,1908,high,18-24,T Nagar
Post_212,2023-02-19,instagram,dance,tweet,india,4764800,52536,65976,47528,medium,25-34,Velachery
Post_213,2022-04-30,twitter,comedy,tweet,japan,4336145,295452,2342,22411,medium,35-50,Adyar
Post_214,2022-07-13,instagram,viral,shorts,japan,4316287,188239,34891,39029,medium,18-24,Nungambakkam
Post_215,2022-08-03,twitter,gaming,tweet,japan,1516746,272088,48475,36816,medium,35-50,Velachery
Post_216,2023-03-02,tiktok,fitness,post,usa,4497673,460735,96637,47633,medium,18-24,Tambaram
Post_217,2022-04-15,youtube,dance,live stream,uk,1200639,381211,2574,40242,medium,18-24,Velachery
Post_218,2022-11-22,youtube,viral,tweet,usa,3115115,81186,14964,1885,low,35-50,Tambaram
Post_219,2023-04-17,twitter,dance,tweet,india,89968,450376,40577,19844,medium,25-34,Adyar
Post_220,2022-06-29,tiktok,dance,tweet,japan,2177828,478703,86167,17109,medium,35-50,Porur
Post_221,2022-05-31,twitter,viral,shorts,india,306511,404600,32664,35337,medium,35-50,Velachery
Post_222,2023-11-26,instagram,music,reel,uk,4422912,199110,95413,32057,low,25-34,Adyar
Post_223,2022-08-09,instagram,tech,post,uk,4326885,300734,1870,1496,medium,13-17,OMR
Post_224,2022-12-25,youtube,music,live stream,germany,4732360,84552,21664,36363,medium,18-24,Velachery
Post_225,2023-03-05,youtube,gaming,video,japan,2510808,348707,17968,46925,high,18-24,T Nagar
Post_226,2023-08-28,instagram,education,video,usa,2710672,252420,23167,5670,low,18-24,T Nagar
Post_227,2022-07-14,tiktok,fitness,shorts,australia,4096796,365062,58371,48138,medium,50+,T Nagar
Post_228,2023-03-29,youtube,gaming,live stream,uk,940184,131729,1559,12135,low,18-24,Porur
Post_229,2023-05-08,twitter,viral,shorts,usa,2184148,326178,46185,1902,high,35-50,Anna Nagar
Post_230,2022-07-31,instagram,challenge,shorts,australia,1498512,205870,16834,34865,medium,25-34,Anna Nagar
Post_231,2022-05-17,instagram,dance,video,germany,4300552,428951,18627,12148,low,25-34,OMR
Post_232,2023-12-16,youtube,challenge,reel,japan,3267055,133930,81976,22080,low,25-34,Anna Nagar
Post_233,2022-03-08,tiktok,fitness,post,canada,2095875,78244,43598,16006,low,25-34,Adyar
Post_234,2022-07-11,youtube,education,shorts,usa,1465227,158579,8809,33511,high,25-34,T Nagar
Post_235,2023-10-25,youtube,viral,reel,japan,1715566,326676,69635,19235,low,18-24,Nungambakkam
Post_236,2023-08-16,instagram,fitness,reel,brazil,4708687,133736,49028,3765,medium,25-34,Porur
Post_237,2022-01-21,youtube,challenge,tweet,uk,1091635,198291,5604,31314,medium,18-24,Porur
Post_238,2022-04-30,tiktok,dance,reel,uk,1111002,266261,22269,39363,low,13-17,Velachery
Post_239,2022-12-16,youtube,comedy,post,japan,869375,123390,59716,46989,low,25-34,Tambaram
Post_240,2023-12-30,twitter,gaming,video,japan,2551247,384714,36284,18974,high,18-24,T Nagar
Post_241,2022-10-29,youtube,viral,shorts,india,920528,400658,58158,26810,high,50+,T Nagar
Post_242,2023-03-04,youtube,viral,shorts,japan,2846948,55585,27235,29699,medium,50+,T Nagar
Post_243,2023-11-25,instagram,fashion,shorts,uk,2801638,111973,60593,35663,medium,35-50,Adyar
Post_244,2023-08-16,tiktok,dance,video,canada,1556267,56055,12612,20474,low,18-24,Velachery
Post_245,2023-09-26,tiktok,viral,post,brazil,1828433,126683,82181,48618,low,13-17,Adyar
Post_246,2022-03-26,youtube,dance,post,uk,3988715,211316,4804,33837,medium,50+,T Nagar
Post_247,2022-10-01,tiktok,fashion,video,canada,3290858,250085,41283,20251,high,18-24,Velachery
Post_248,2022-01-21,youtube,viral,tweet,usa,3703315,449350,54600,26510,medium,50+,OMR
Post_249,2022-10-29,tiktok,education,post,canada,506215,303740,98918,36904,medium,50+,Velachery
Post_250,2022-07-01,youtube,fitness,post,canada,762333,406861,79834,13785,medium,35-50,OMR
Post_251,2023-05-03,twitter,dance,post,brazil,3252738,420498,5811,2661,high,18-24,Anna Nagar
Post_252,2023-11-07,instagram,fashion,tweet,germany,4080585,203708,22677,23693,medium,18-24,Tambaram
Post_253,2023-03-23,tiktok,comedy,tweet,germany,1450112,409512,91982,9118,medium,35-50,Adyar
Post_254,2022-03-06,twitter,gaming,post,uk,2512592,418988,4122,18706,low,25-34,Anna Nagar
Post_255,2023-11-06,tiktok,fitness,video,japan,3714148,291659,27722,28024,high,18-24,Anna Nagar
Post_256,2022-06-07,twitter,challenge,tweet,usa,2276898,337038,56049,13735,medium,25-34,OMR
Post_257,2023-08-11,youtube,challenge,shorts,australia,342675,493624,4168,35727,low,50+,Tambaram
Post_258,2023-12-02,instagram,fitness,post,australia,2787914,198350,96753,45466,medium,25-34,Velachery
Post_259,2023-02-10,instagram,comedy,tweet,usa,893271,69359,66059,43386,medium,25-34,Anna Nagar
Post_260,2022-12-28,youtube,dance,post,japan,2061951,381908,33698,25476,high,13-17,Porur
Post_261,2022-04-01,twitter,music,reel,canada,3823345,32222,64447,44453,high,25-34,OMR
Post_262,2022-10-23,twitter,fitness,live stream,usa,4330038,118835,19134,27781,high,50+,Velachery
Post_263,2023-02-06,youtube,fitness,video,canada,2714016,86422,85827,36320,high,18-24,Velachery
Post_264,2022-03-11,instagram,music,tweet,canada,4588770,448601,52948,32818,medium,18-24,Anna Nagar
Post_265,2022-10-18,instagram,tech,video,canada,485489,265199,14446,34447,low,35-50,OMR
Post_266,2022-02-04,youtube,education,post,uk,2688752,472554,2742,14495,low,35-50,Velachery
Post_267,2023-01-06,youtube,comedy,post,brazil,2417512,154294,98184,18043,medium,25-34,Nungambakkam
Post_268,2023-01-16,tiktok,comedy,tweet,japan,1612356,488560,75088,11999,low,25-34,Velachery
Post_269,2023-01-14,instagram,dance,shorts,japan,242459,366128,20712,22677,medium,18-24,Velachery
Post_270,2023-04-28,twitter,dance,live stream,uk,4041579,326486,69020,47705,high,18-24,Adyar
Post_271,2022-05-01,twitter,dance,post,canada,2214561,156292,18753,3643,medium,35-50,Porur
Post_272,2023-01-18,youtube,dance,post,uk,2524440,262085,98352,37571,high,35-50,Tambaram
Post_273,2022-03-07,instagram,viral,reel,canada,4675636,328475,4510,45120,low,35-50,Velachery
Post_274,2023-11-20,youtube,tech,live stream,uk,1093553,43035,52724,29091,low,50+,OMR
Post_275,2023-02-02,twitter,music,tweet,australia,2860355,157614,70326,47778,medium,25-34,Adyar
